Name,Pos,City,State,Height,Weight,Stars,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Reg_rank,State_rank,Grade  ,University  
Brett Willis,WR,Bakersfield,CA,6'3'',185,,,Colorado State,NR, NR, NR,2006,Colorado State,,,,
DeAngelo Wilkinson,S,Las Vegas,NV,5'9'',170,,69.0,Colorado State,, None, None,2006,Colorado State,,,,
Mark Starr,OT,Goodland,KS,6'6'',235,,,Colorado State,NR,,,2006,Colorado State,,,,
Adam Seymore,TE,,,6'4'',235,,,Colorado State,, None, None,2006,Colorado State,,,,
C.J. Sedoris,QB,Las Vegas,NV,6'2'',180,,67.0,Colorado State,116,,,2006,Colorado State,,,,
R.J. Sanders,RB,Denver,CO,6'0'',185,,,Colorado State,,,,2006,Colorado State,,,,
Zack Pauga,RB,Lakewood,CO,6'2'',200,,,Colorado State,NR, NR, NR,2006,Colorado State,,,,
Nick Neuenfeldt,ILB,Scottsdale,AZ,6'4'',230,,,Colorado State,NR,,,2006,Colorado State,,,,
John Mosure,RB,Miami,FL,5'11'',190,,,Colorado State,NR,,,2006,Colorado State,,,,
Guy Miller,OG,Scott City,KS,6'3'',265,,70.0,Colorado State,,,,2006,Colorado State,,,,
Jake Mechler,ILB,Richardson,TX,6'2'',235,,,Colorado State,, None, None,2006,Colorado State,,,,
Sean McDougal,QB,Arvada,CO,6'1'',190,,60.0,Colorado State,152,,,2006,Colorado State,,,,
Patrick Massey,DE,Austin,TX,6'5'',200,,,Colorado State,,,,2006,Colorado State,,,,
Michael Maracle,DE,La Jolla,CA,6'3'',200,,,Colorado State,,,,2006,Colorado State,,,,
Cordell Macon,TE,Anchorage,AK,6'6'',220,,,Colorado State,,,,2006,Colorado State,,,,
Brian Lepak,OC,Claremore,OK,6'5'',285,,75.0,Colorado State,6, None, None,2006,Colorado State,,,,
Anthony Jones,DT,Plant City,FL,6'2'',295,,,Colorado State,,,,2006,Colorado State,,,,
Michael Johnson,S,Weston,FL,5'10'',200,,76.0,Colorado State,52,182, NR,2006,Colorado State,,,,
Ryan Griffith,OT,Rancho Cucamonga,CA,6'4'',245,,67.0,Colorado State,67, NR, NR,2006,Colorado State,,,,
Nick Eaton,OLB,Loveland,CO,6'3'',224,,,Colorado State,,,,2006,Colorado State,,,,
Josh Dorsey,S,Denver,CO,6'0'',185,,,Colorado State,,,,2006,Colorado State,,,,
Grant Detwiler,TE,Tulsa,OK,6'2'',220,,,Colorado State,,,,2006,Colorado State,,,,
Robert Claypool,DT,Aurora,CO,6'3'',280,,70.0,Colorado State,,,,2006,Colorado State,,,,
Rick Brewer,OLB,Denver,CO,6'0'',185,,72.0,Colorado State,49,,,2006,Colorado State,,,,
Marvin Arnold,OG,Carson,CA,6'3'',280,,,Colorado State,, None, None,2006,Colorado State,,,,
Matt Yemm,ATH,Fort Collins,CO,5'11'',175,NR,,Colorado State,,,,2007,Colorado State,,,,
Jacob Tigges,TE,Union City,OK,6'2'',255,,74.0,Colorado State,40,,,2007,Colorado State,,,,
Blake Swain,CB,Denver,CO,6'0'',180,NR,,Colorado State,,,,2007,Colorado State,,,,
Elijah-Blu Smith,CB,Los Angeles,CA,5'11'',190,NR,,Colorado State,,,,2007,Colorado State,,,,
Mychal Sisson,OLB,Duncanville,TX,6'0'',205,,77.0,Colorado State,27,,,2007,Colorado State,NR,NR,,
Eric Peitz,DT,Crofton,NE,6'6'',245,NR,,Colorado State,,,,2007,Colorado State,,,,
Brandon Owens,RB,Bakersfield,CA,6'0'',165,NR,,Colorado State,,,,2007,Colorado State,,,,
Phillip Morelli,RB,Denver,CO,5'10'',175,NR,,Colorado State,,,,2007,Colorado State,,,,
Jacoby Mitchell,ATH,Canyon Springs,CA,5'11'',180,NR,,Colorado State,,,,2007,Colorado State,,,,
Jarrad McKay,RB,Lakewood,CO,6'0'',180,NR,,Colorado State,,,,2007,Colorado State,,,,
Tyler McDermott,OC,Wellington,FL,6'2'',269,,78.0,Colorado State,5,,,2007,Colorado State,,,,
Nuku Latu,TE,Gilbert,AZ,6'2'',250,NR,,Colorado State,,,,2007,Colorado State,,,,
Klay Kubiak,ILB,Aurora,CO,6'0'',185,NR,,Colorado State,,,,2007,Colorado State,,,,
Michael Kawulok,ILB,Louisville,CO,6'2'',205,NR,,Colorado State,,,,2007,Colorado State,,,,
Jake Gdowski,TE,Grand Island,NE,6'2'',261,NR,,Colorado State,NR,,,2007,Colorado State,,,,
Kenny Galbearth,OLB,Colorado Springs,CO,6'2'',205,NR,,Colorado State,NR,,,2007,Colorado State,NR,NR,,
Zach Donaldson,S,Fort Collins,CO,6'1'',200,NR,,Colorado State,,,,2007,Colorado State,,,,
Luke Diehl,ILB,Castle Rock,CO,6'2'',210,NR,,Colorado State,,,,2007,Colorado State,,,,
Leo Davis,DE,Billings,MT,6'4'',245,NR,,Colorado State,,,,2007,Colorado State,,,,
Eugene Daniels,DE,Killeen,TX,6'3'',240,,70.0,Colorado State,120,,,2007,Colorado State,,,,
Curtis Cornelson,OLB,Bakersfield,CA,6'1'',235,NR,,Colorado State,,,,2007,Colorado State,,,,
Steve Collins,DT,Loveland,CO,6'2'',260,NR,,Colorado State,,,,2007,Colorado State,,,,
John Clark,OLB,Hanford,CA,6'3'',225,NR,,Colorado State,,,,2007,Colorado State,,,,
T. J. Borcky,QB,Orlando,FL,6'4'',185,,75.0,Colorado State,68,,,2007,Colorado State,NR,NR,,
Lester Arnold,S,San Diego,CA,5'10'',188,,73.0,Colorado State,,,,2007,Colorado State,,,,
Ezra Thompson,S,Frankfort,IL,6'0'',189,76.0,Colorado State,,98, NR, NR,2009,Colorado State,,,,
Christian James,DE,Orlando,FL,6'3'',235,74.0,Colorado State,,, None, None,2009,Colorado State,,,,
Brandon Haynes,OG,Dallas,TX,6'3'',290,73.0,Colorado State,,145,,,2009,Colorado State,,,,
Cameron Moss,TE,Spring Valley,CA,6'4'',233,73.0,Colorado State,,,,,2009,Colorado State,,,,
Lou Greenwood,RB,Conroe,TX,6'1'',174,73.0,Colorado State,,144,,,2009,Colorado State,,,,
Nico Ranieri,QB,Orlando,FL,6'2'',195,73.0,Colorado State,,103,,,2009,Colorado State,,,,
Matthew Weems,DE,Centennial,CO,6'4'',225,,Colorado State,,,,,2009,Colorado State,,,,
Jared Biard,OT,League City,TX,6'7'',280,,Colorado State,,, None, None,2009,Colorado State,,,,
Vernon Scott,CB,Muskogee,OK,6'0'',175,,Colorado State,,, None, None,2009,Colorado State,,,,
Joe Brown,TE,Wichita,KS,6'3'',215,,Colorado State,,NR, NR, NR,2009,Colorado State,,,,
Michael Orakpo,ILB,Houston,TX,6'0'',190,,Colorado State,,,,,2009,Colorado State,,,,
Andrew Taylor,CB,Dallas,TX,5'10'',157,,Colorado State,,,,,2009,Colorado State,,,,
Chris Nwoke,RB,Highlands Ranch,CO,5'11'',200,,Colorado State,,, None, None,2009,Colorado State,,,,
Te'Jay Brown,DT,Saint Petersburg,FL,6'2'',260,,Colorado State,,, None, None,2009,Colorado State,,,,
Weston Richburg,OT,Bushland,TX,6'4'',260,,Colorado State,,,,,2009,Colorado State,,,,
Pete Kontodiakos,K,Clearwater,FL,6'3'',190,,Colorado State,,NR, NR, NR,2009,Colorado State,,,,
Curtis Wilson,DE,Orlando,FL,6'3'',220,,Colorado State,,,,,2009,Colorado State,,,,
Justin Becker,DT,Highlands Ranch,CO,6'5'',250,,Colorado State,,, None, None,2009,Colorado State,,,,
Jordan Gragert,OC,Libby,MT,6'4'',230,,Colorado State,,, None, None,2009,Colorado State,,,,
Immanuel Mitchell,CB,Corona,CA,5'11'',170,,Colorado State,,NR,,,2009,Colorado State,,,,
Dru Taylor,CB,Oak Cliff,TX,5'10'',165,,Colorado State,,NR,,,2009,Colorado State,,,,
Cameron Loughery,ILB,Atlanta,GA,6'1'',215,,Colorado State,,, None, None,2009,Colorado State,,,,
Jon Eastman,QB,Sandy,UT,6'2'',210,,Colorado State,,, None, None,2009,Colorado State,,,,
Leonard Mason,RB,Alta Loma,CA,6'0'',215,,Colorado State,,NR,,,2009,Colorado State,,,,
Travis Ford,S,Oakland,CA,6'2'',215,,Colorado State,,,,,2009,Colorado State,,,,
Tony Drake,RB,Dallas,TX,5'7'',163,77,Colorado State,,41, None, None,2010,Colorado State,,,,
John Froland,DT,Snohomish,WA,6'4'',240,74,Colorado State,,105,,,2010,Colorado State,,,,
Pete Thomas,QB,El Cajon,CA,6'6'',218,74,Colorado State,,222,,,2010,Colorado State,,,,
Bobby Borcky,QB,Orlando,FL,6'2'',175,74,Colorado State,,,,,2010,Colorado State,,,,
Max Morgan,OLB,Greeley,CO,6'1'',215,74,Colorado State,,117, NR, NR,2010,Colorado State,,,,
Shaquille Bell,CB,Kissimmee,FL,5'10'',170,73,Colorado State,,NR, NR, NR,2010,Colorado State,,,,
Charles Favors,ILB,Orlando,FL,5'10'',235,73,Colorado State,,, NR, NR,2010,Colorado State,,,,
Eric Niederberger,OLB,Grass Valley,CA,6'0'',197,73,Colorado State,,139,,,2010,Colorado State,,,,
Thomas Coffman,WR,Austin,TX,5'9'',157,72,Colorado State,,203,,,2010,Colorado State,,,,
Mason Hathaway,OT,Southlake,TX,6'5'',259,71,Colorado State,,145,,,2010,Colorado State,,,,
Trevor Murphy,DE,Jefferson,TX,6'2'',255,71,Colorado State,,179, NR, NR,2010,Colorado State,,,,
Chris Stefo,OT,Arvada,CO,6'4'',300,71,Colorado State,,147,,,2010,Colorado State,,,,
Mason Myers,OG,Moore,OK,6'3'',270,71,Colorado State,,147, NR, NR,2010,Colorado State,,,,
James Boone,WR,Saint Cloud,FL,6'0'',164,70,Colorado State,,,223, None,2010,Colorado State,,,,
Alex Tucci,OG,Weston,FL,6'4'',310,67,Colorado State,,67, None, None,2010,Colorado State,,,,
Ty Sambrailo,OT,Watsonville,CA,6'5'',253,63,Colorado State,,199,510,285,2010,Colorado State,,,,
Garrett Grayson,QB,Vancouver,WA,6'2'',193,NR,Colorado State,,NR,NR,NR,2010,Colorado State,,,,
Najee James,CB,Orlando,FL,6'0'',181,NR,Colorado State,,,,,2010,Colorado State,,,,
Marquis Hood,OLB,Orlando,FL,6'1'',195,NR,Colorado State,,NR,,,2010,Colorado State,,,,
Marvin Ford,RB,Orlando,FL,5'10'',182,NR,Colorado State,,,,,2010,Colorado State,,,,
Nordly Capi,DE,Ocoee,FL,6'2'',223,NR,Colorado State,,, None, None,2010,Colorado State,,,,
Charles Green,DE,Sanford,FL,6'3'',202,NR,Colorado State,,, NR, NR,2010,Colorado State,,,,
Jay James,WR,Orlando,FL,6'2'',205,NR,Colorado State,,NR, NR, NR,2010,Colorado State,,,,
Austin Gray,WR,Abilene,TX,6'3'',188,NR,Colorado State,,NR, NR, NR,2010,Colorado State,,,,
Joshua James,WR,Orlando,FL,6'2'',193,NR,Colorado State,,,,,2010,Colorado State,,,,
Crockett Gilmore,TE,Bushland,TX,6'6'',225,NR,Colorado State,,,,,2010,Colorado State,,,,
Kivon Cartwright,TE,Pueblo,CO,6'4'',215,NR,Colorado State,,, None, None,2010,Colorado State,,,,
Mike Orakpu,OLB,Houston,TX,6'1'',206,NR,Colorado State,,,,,2010,Colorado State,,,,
Bernard Blake,CB,Bastrop,TX,5'11'',180,NR,Colorado State,,,,,2010,Colorado State,,,,
Vance Green,S,Gilmer,TX,5'11'',200,NR,Colorado State,,, None, None,2010,Colorado State,,,,
Dominique Wilson,ATH,Huntington Beach,CA,6'0'',175,NR,Colorado State,,,,,2010,Colorado State,,,,
DT,Dallas,TX,6'4'',295,79.0,,,,,,,2011,Colorado State,,,Colorado State  ,
TE,Louisville,CO,6'5'',220,77.0,,,,,,,2011,Colorado State,,,Colorado State  ,
ATH,Odessa,TX,6'0'',200,76.0,,,,,,,2011,Colorado State,,,Colorado State  ,
RB,Loveland,CO,6'0'',220,76.0,,,,,,,2011,Colorado State,,,Colorado State  ,
RB,Plainfield,IL,5'10'',194,76.0,,,,,,,2011,Colorado State,,,Colorado State  ,
DE,Woodland Hills,CA,6'3'',215,76.0,,,,,,,2011,Colorado State,,,Colorado State  ,
TE,Tulsa,OK,6'4'',222,75.0,,,,,,,2011,Colorado State,,,Colorado State  ,
WR,Tampa,FL,5'7'',162,74.0,,,,,,,2011,Colorado State,,,Colorado State  ,
QB,Richmond,TX,6'4'',215,74.0,,,,,,,2011,Colorado State,,,Colorado State  ,
K,Bainbridge,GA,5'10'',175,74.0,,,,,,,2011,Colorado State,,,Colorado State  ,
OT,Longmont,CO,6'4'',270,74.0,,,,,,,2011,Colorado State,,,Colorado State  ,
OG,Angleton,TX,6'3'',270,74.0,,,,,,,2011,Colorado State,,,Colorado State  ,
S,Del Rio,TX,6'1'',190,73.0,,,,,,,2011,Colorado State,,,Colorado State  ,
DT,Cape Coral,FL,6'1'',275,70.0,,,,,,,2011,Colorado State,,,Colorado State  ,
FB,Highlands Ranch,CO,5'11'',225,,,,,,,,2011,Colorado State,,,Colorado State  ,
OLB,Orlando,FL,6'0'',191,,,,,,,,2011,Colorado State,,,Colorado State  ,
S,Dallas,TX,6'0'',175,,,,,,,,2011,Colorado State,,,Colorado State  ,
OLB,Los Alamitos,CA,5'11'',190,,,,,,,,2011,Colorado State,,,Colorado State  ,
RB,Blue Springs,MO,6'1'',207,,,,,,,,2011,Colorado State,,,Colorado State  ,
OLB,La Quinta,CA,5'11'',194,,,,,,,,2011,Colorado State,,,Colorado State  ,
QB,Valley Center,CA,6'3'',170,,,,,,,,2011,Colorado State,,,Colorado State  ,
RB,Abilene,TX,5'11'',200,,,,,,,,2011,Colorado State,,,Colorado State  ,
OT,Fort Collins,CO,6'4'',265,,,,,,,,2011,Colorado State,,,Colorado State  ,
S,Valley Center,CA,6'1'',190,,,,,,,,2011,Colorado State,,,Colorado State  ,
S,Converse,TX,6'2'',200,,,,,,,,2011,Colorado State,,,Colorado State  ,
ATH,Iowa Park,TX,5'10'',185,,,,,,,,2011,Colorado State,,,Colorado State  ,
OLB,Del Rio,TX,6'3'',210,,,,,,,,2011,Colorado State,,,Colorado State  ,
QB,Vancouver,WA,6'2'',202,,,,,,,,2011,Colorado State,,,Colorado State  ,
FB,Denver,CO,5'11'',230,,,,,,,,2011,Colorado State,,,Colorado State  ,
WR,Bastrop,TX,5'11'',180,,,,,,,,2011,Colorado State,,,Colorado State  ,
DE,Granite Bay,CA,6'2'',255,,,,,,,,2011,Colorado State,,,Colorado State  ,
ILB,Baltimore,MD,6'2'',240,,,,,,,,2011,Colorado State,,,Colorado State,
Kevin Davis,OLB,Fountain,CO,6'2'',220,77.0,,,, None, None,2012,Colorado State,,,,
Tommey Morris,ATH,Odessa,TX,6'0'',200,76.0,,,, None, None,2012,Colorado State,,,,
Keenan Adams,K,Bainbridge,GA,5'10'',185,74.0,,,, None, None,2012,Colorado State,,,,
Daniel Nwosu,TE,Lanham,MD,6'3'',215,73.0,,,227,37, None,2012,Colorado State,,,,
Jordon Vaden,WR,New Raymer,CO,6'2'',175,73.0,,,206,,,2012,Colorado State,,,,
Fred Zerblis,OC,Loganville,GA,6'2'',285,72.0,,,23,817,156,2012,Colorado State,,,,
Deonte Wortham,OLB,Dallas,TX,6'1'',220,71.0,,,155,,,2012,Colorado State,,,,
Craig Leonard,QB,Fort Collins,CO,6'4'',215,69.0,,,,,,2012,Colorado State,,,,
Nolan Peralta,ILB,Wildomar,CA,6'3'',223,67.0,,,380,,,2012,Colorado State,,,,
Joe Hansley,ATH,Highlands Ranch,CO,5'10'',170,,,,, None, None,2012,Colorado State,,,,
Nick Januska,OLB,Ventura,CA,6'1'',210,,,,, None, None,2012,Colorado State,,,,
Mitch Frentescu,DT,Walnut Creek,CA,6'3'',250,,,,, None, None,2012,Colorado State,,,,
Brett Jordan,TE,Bellaire,TX,6'4'',245,,,,NR,,,2012,Colorado State,,,,
Nick Callender,OT,Berkeley,CA,6'5'',275,,,,, None, None,2012,Colorado State,,,,
A.J. Frieler,OT,Greeley,CO,6'5'',295,,,,NR,,,2012,Colorado State,,,,
Josh Bowman,S,Abilene,TX,6'1'',185,,,,, None, None,2012,Colorado State,,,,
D'Arric Thomas,CB,Dallas,TX,5'11'',180,,,,,,,2012,Colorado State,,,,
Johnny Schupp,TE,Vacaville,CA,6'5'',230,,,,, None, None,2012,Colorado State,,,,
Darran Hall,WR,San Diego,CA,6'0'',165,,,,,,,2012,Colorado State,,,,
Bryan Ohene,OLB,Arlington,TX,6'1'',208,,,,NR,,,2012,Colorado State,,,,
Tomas Rivera,OT,Long Beach,CA,6'6'',315,,,,, None, None,2012,Colorado State,,,,
Shaq Walker,DT,Barnesville,GA,6'2'',320,,,,NR,,,2012,Colorado State,,,,
Calvin Tonga,DT,Riverside,CA,6'4'',330,,,,NR, NR,,2012,Colorado State,,,,
Mister Jones,RB,Littleton,CO,6'2'',210,,,,, None, None,2012,Colorado State,,,,
Charles Ragland,OT,Denver,CO,6'7'',295,,,,,,,2012,Colorado State,,,,
RB,Houston,TX,5'10'',196,77.0,,Colorado State,,,,,2013,Colorado State,,,,
OLB,Beaverton,OR,6'3'',210,77.0,,Colorado State,,,,,2013,Colorado State,,,,
QB,Murrieta,CA,6'4'',184,76.0,,Colorado State,,,,,2013,Colorado State,,,,
OT,Castle Rock,CO,6'5'',285,76.0,,Colorado State,,,,,2013,Colorado State,,,,
TE,Carbondale,CO,6'4'',260,71.0,,Colorado State,,,,,2013,Colorado State,,,,
WR,Lakewood,WA,6'2'',190,70.0,,Colorado State,,,,,2013,Colorado State,,,,
DE,Grand Junction,CO,6'5'',223,70.0,,Colorado State,,,,,2013,Colorado State,,,,
CB,Las Vegas,NV,5'10'',174,69.0,,Colorado State,,,,,2013,Colorado State,,,,
TE,Kennedale,TX,6'5'',250,67.0,,Colorado State,,,,,2013,Colorado State,,,,
OG,Lakewood,CO,6'3'',265,,,Colorado State,,,,,2013,Colorado State,,,,
ILB,Louisville,KY,6'0'',214,,,Colorado State,,,,,2013,Colorado State,,,,
CB,Gardena,CA,5'10'',174,,,Colorado State,,,,,2013,Colorado State,,,,
OLB,San Marcos,CA,6'1'',191,,,Colorado State,,,,,2013,Colorado State,,,,
OT,Aurora,CO,6'5'',260,,,Colorado State,,,,,2013,Colorado State,,,,
WR,Peoria,AZ,6'3'',205,,,Colorado State,,,,,2013,Colorado State,,,,
WR,Mesquite,TX,6'2'',168,,,Colorado State,,,,,2013,Colorado State,,,,
DE,Clovis,CA,6'4'',250,,,Colorado State,,,,,2013,Colorado State,,,,
DE,Charlotte,NC,6'4'',235,,,Colorado State,,,,,2013,Colorado State,,,,
S,McCook,NE,6'0'',195,,,Colorado State,,,,,2013,Colorado State,,,,
TE,Houston,TX,6'5'',280,,,Colorado State,,,,,2013,Colorado State,,,,
WR,San Diego,CA,6'4'',205,,,Colorado State,,,,,2013,Colorado State,,,,
RB,Plainfield,IL,5'10'',200,,,Colorado State,,,,,2013,Colorado State,,,,
DT,Tulsa,OK,6'2'',260,,,Colorado State,,,,,2013,Colorado State,,,,
TE,Starkville,MS,6'5'',260,,,Colorado State,,,,,2013,Colorado State,,,,
DT,Vacaville,CA,6'2'',290,,,Colorado State,,,,,2013,Colorado State,,,,
