Name,Pos,City,State,Height,Weight,Stars,Grade,University  ,Pos_rank, Reg_rank, State_rank,Year,Team,University,Reg_rank,State_rank,School,University 
Javon Kinlaw,OT,Goose Creek,SC,6'6'',280,80,South Carolina,,29,177,6,2016,South Carolina,,,,,
Kobe Smith,DT,Lawrenceville,GA,6'3'',315,79,South Carolina,,40,226,43,2016,South Carolina,,,,,
Randrecous Davis,WR,Atlanta,GA,5'11'',178,79,South Carolina,,44,,,2016,South Carolina,,,,,
Darius Whitfield,OC,Mobile,AL,6'3'',270,79,South Carolina,,6,,,2016,South Carolina,,,,,
Korey Banks,WR,Tyrone,GA,6'0'',165,79,South Carolina,,, None, None,2016,South Carolina,,,,,
C.J. Freeman,RB,Greensboro,NC,5'11'',200,78,South Carolina,,53,,,2016,South Carolina,,,,,
Aaron Thompson,DT,Fort Lauderdale,FL,6'3'',252,78,South Carolina,,49,312,108,2016,South Carolina,,,,,
Akeem Cooperwood,OT,Knoxville,TN,6'7'',330,78,South Carolina,,12,,,2016,South Carolina,,,,,
Diondre Champaigne,WR,North Charleston,SC,6'3'',180,77,South Carolina,,127,352,14,2016,South Carolina,,,,,
Chris Smith,CB,Rock Hill,SC,5'11'',170,77,South Carolina,,46,367,16,2016,South Carolina,,,,,
Rico Dowdle,RB,Asheville,NC,5'11'',205,76,South Carolina,,385, None,39,2016,South Carolina,,,,,
Evan Hinson,TE-H,Deltona,FL,6'4'',215,76,South Carolina,,19,388,131,2016,South Carolina,,,,,
Chavis Dawkins,WR,Duncan,SC,6'2'',195,76,South Carolina,,143,,,2016,South Carolina,,,,,
Kiel Pollard,WR,Moultrie,GA,6'1'',225,76,South Carolina,,148,412,84,2016,South Carolina,,,,,
Sadarius Hutcherson,DE,Huntingdon,TN,6'5'',245,74,South Carolina,,105,,,2016,South Carolina,,,,,
Griffin Gentry,DT,Birmingham,AL,6'1'',248,74,South Carolina,,464,71,34,2016,South Carolina,,,,,
T.J. Brunson,ILB,Columbia,SC,6'0'',220,74,South Carolina,,40,,,2016,South Carolina,,,,,
Dennis Wonnum,DE,Stone Mountain,GA,6'3'',218,73,South Carolina,,121,521,113,2016,South Carolina,,,,,
Pete Leota,OG,Asheville,NC,6'4'',290,73,South Carolina,,78,548,52,2016,South Carolina,,,,,
Robert Tucker,ILB,Atlanta,GA,6'3'',234,72,South Carolina,,48,,,2016,South Carolina,,,,,
Will Putnam,OT,Harrisburg,NC,6'5'',270,68,South Carolina,,132,692,64,2016,South Carolina,,,,,
Jamyest Williams,CB,Loganville,GA,5'9'',173,86.0,South Carolina,,3,20,4,2017,South Carolina,,,,,
Shi Smith,WR,Union,SC,6'0'',175,83.0,South Carolina,,16,53,1,2017,South Carolina,,,,,
Keisean Nixon,CB,Compton,CA,6'0'',200,83.0,South Carolina,,10th, NR, NR,2017,South Carolina,,,,,
Javon Kinlaw,DT,Goose Creek,SC,6'5'',300,81.0,South Carolina,,17,,,2017,South Carolina,,,,,
Aaron Sterling,DT,Tucker,GA,6'1'',259,81.0,South Carolina,,15,,,2017,South Carolina,,,,,
Dennis Daley,OT,Columbia,SC,6'5'',290,81.0,South Carolina,,20th,,,2017,South Carolina,,,,,
M.J. Webb,DT,Madison,GA,6'3'',271,81.0,South Carolina,,16,102,28,2017,South Carolina,,,,,
OrTre Smith,WR,Mount Pleasant,SC,6'4'',217,81.0,South Carolina,,36,,,2017,South Carolina,,,,,
Will Register,TE-Y,Chapin,SC,6'4'',240,81.0,South Carolina,,6,,,2017,South Carolina,,,,,
Brad Johnson,DE,Pendleton,SC,6'2'',230,79.0,South Carolina,,38,,,2017,South Carolina,,,,,
Kaleb Chalmers,CB,Greenwood,SC,5'11'',185,79.0,South Carolina,,10, NR, NR,2017,South Carolina,,,,,
Jaylin Dickerson,ATH,Southern Pines,NC,6'1'',180,79.0,South Carolina,,42,236,12,2017,South Carolina,,,,,
Chad Terrell,WR,Dallas,GA,6'2'',205,79.0,South Carolina,,87,239,58,2017,South Carolina,,,,,
Jay Urich,QB-PP,Piedmont,SC,6'5'',190,78.0,South Carolina,,26,299,10,2017,South Carolina,,,,,
Tyreek Johnson,DE,Sumter,SC,6'3'',245,78.0,South Carolina,,64,307,12,2017,South Carolina,,,,,
Summie Carlay,OT,Laurens,SC,6'4'',275,78.0,South Carolina,,59,,,2017,South Carolina,,,,,
Jordan Rhodes,OT,Fairburn,GA,6'5'',300,77.0,South Carolina,,60,,,2017,South Carolina,,,,,
Davonne Bowen,DE,Piedmont,SC,6'1'',215,77.0,South Carolina,,66,339,14,2017,South Carolina,,,,,
Sherrod Greene,ILB,Rocky Mount,NC,6'1'',219,77.0,South Carolina,,24,,,2017,South Carolina,,,,,
Eldridge Thompson,OLB,Memphis,TN,6'1'',220,77.0,South Carolina,,7,,,2017,South Carolina,,,,,
Eric Douglas II,OT,Charlotte,NC,6'4'',285,76.0,South Carolina,,78,,,2017,South Carolina,,,,,
Damani Staley,OLB,Columbia,SC,6'1'',200,74.0,South Carolina,,505,,,2017,South Carolina,,,,,
Zay Brown,S,Athens,GA,5'11'',184,74.0,South Carolina,,, None, None,2017,South Carolina,,,,,
Tavyn Jackson,CB,Tallahassee,FL,5'10'',167,73.0,South Carolina,,548,,,2017,South Carolina,,,,,
Jordon Carty,OT,Hollywood,FL,6'6'',265,,South Carolina,,, None, None,2017,South Carolina,,,,,
Zacch Pickens,DE,Anderson,SC,6'4'',265,,86,,4,12,1,2019,South Carolina,South Carolina,,,,
Jaquaze Sorrells,DT,Winter Park,FL,6'3'',286,,86,,3,,,2019,South Carolina,South Carolina,,,,
Ryan Hilinski,QB-PPO,Orange,CA,6'4'',222,,84,,4,,,2019,South Carolina,South Carolina,,,,
Jahkeem Green,DT (JC),Sumter,SC,6'3'',305,,82,,1,,,2019,South Carolina,South Carolina,,,,
Joseph Anderson,DE,Murfreesboro,TN,6'4'',260,,81,,26,,,2019,South Carolina,South Carolina,,,,
Shilo Sanders,CB,Cedar Hill,TX,6'0'',178,,80,,24,48,37,2019,South Carolina,South Carolina,,,,
Devontae Davis,DE (JC),Aiken,SC,6'4'',250,,80,,6,,,2019,South Carolina,South Carolina,,,,
Cameron Smith,CB,Blythewood,SC,6'1'',171,,80,,25,147,3,2019,South Carolina,South Carolina,,,,
Jakai Moore,OG,Nokesville,VA,6'5'',290,,80,,12,33,10,2019,South Carolina,South Carolina,,,,
Vincent Murphy,OC,Fort Lauderdale,FL,6'3'',260,,80,,6,179,55,2019,South Carolina,South Carolina,,,,
Rodricus Fitten,DE,Atlanta,GA,6'3'',221,,80,,42,180,45,2019,South Carolina,South Carolina,,,,
Traevon Kenion,TE-H,Monroe,NC,6'3'',215,,80,,5,183,13,2019,South Carolina,South Carolina,,,,
Jammie Robinson,ATH,Leesburg,GA,5'11'',185,,80,,39,,,2019,South Carolina,South Carolina,,,,
Derek Boykins,ILB,Concord,NC,6'1'',225,,79,,14,,,2019,South Carolina,South Carolina,,,,
Jahmar Brown,OLB,Fort Lauderdale,FL,6'1'',192,,79,,34,,,2019,South Carolina,South Carolina,,,,
Keveon Mullins,ATH,Memphis,TN,6'2'',207,,79,,49,254,19,2019,South Carolina,South Carolina,,,,
Keshawn Toney,TE-H,Williston,SC,6'2'',240,,79,,11,273,6,2019,South Carolina,South Carolina,,,,
Mark Fox Jr.,OG,Miami,FL,6'4'',262,,78,,30,299,96,2019,South Carolina,South Carolina,,,,
John Dixon,CB,Tampa,FL,5'10'',176,,78,,105,,,2019,South Carolina,South Carolina,,,,
Jaylen Nichols,OT,Charlotte,NC,6'5'',300,,77,,354,,,2019,South Carolina,South Carolina,,,,
Kevin Harris,RB,Hinesville,GA,5'10'',231,,77,,60,413,93,2019,South Carolina,South Carolina,,,,
Xavier Legette,ATH,Mullins,SC,6'2'',190,,74,,136,636,29,2019,South Carolina,South Carolina,,,,
William Rogers,OG,Lovejoy,GA,6'3'',309,,72,,102,,,2019,South Carolina,South Carolina,,,,
Jordan Burch,DE,Columbia,SC,6'4'',250,91.0,South Carolina,,4,2,1,2020,South Carolina,,,,,
Marshawn Lloyd,RB,Hyattsville,MD,5'9'',206,85.0,South Carolina,,8,10,3,2020,South Carolina,,,,,
Luke Doty,QB-DT,Myrtle Beach,SC,6'2'',189,84.0,South Carolina,,4,36,2,2020,South Carolina,,,,,
Tonka Hemingway,DT,Conway,SC,6'3'',271,82.0,South Carolina,,15,,,2020,South Carolina,,,,,
Michael Wyman,WR,Greensboro,NC,6'3'',195,82.0,South Carolina,,37,97,8,2020,South Carolina,,,,,
Alex Huntley,OG,Columbia,SC,6'3'',288,81.0,South Carolina,,9,99,4,2020,South Carolina,,,,,
Mohamed Kaba,OLB,Clinton,NC,6'2'',205,81.0,South Carolina,,20,,,2020,South Carolina,,,,,
Tyshawn Wannamaker,OG,Saint Matthews,SC,6'3'',315,81.0,South Carolina,,10,,,2020,South Carolina,,,,,
Rico Powers Jr.,WR,Savannah,GA,6'2'',180,80.0,South Carolina,,61,172,36,2020,South Carolina,,,,,
Jaheim Bell,WR,Valdosta,GA,6'2'',210,80.0,South Carolina,,62,173,37,2020,South Carolina,,,,,
Eric Shaw,ATH,Notasulga,AL,6'4'',205,80.0,South Carolina,,34,178,19,2020,South Carolina,,,,,
Joey Hunter,CB,Tyrone,GA,6'1'',185,78.0,South Carolina,,42,,,2020,South Carolina,,,,,
ZaQuandre White,RB,North Fort Myers,FL,6'2'',210,78.0,South Carolina,,3, NR, NR,2020,South Carolina,,,,,
Vershon Lee,OG,Woodbridge,VA,6'3'',300,77.0,South Carolina,,44,98,19,2020,South Carolina,,,,,
Ger-Cari Caldwell,WR,Rock Hill,SC,6'4'',185,76.0,South Carolina,,136,367,12,2020,South Carolina,,,,,
Jazston Turnetine,OT,Hutchinson,KS,6'8'',340,76.0,South Carolina,,13,,,2020,South Carolina,,,,,
O'Donnell Fortune,CB,Sumter,SC,6'2'',175,75.0,South Carolina,,495,86,163,2020,South Carolina,,,,,
Dominick Hill,ATH,Orlando,FL,6'1'',176,75.0,South Carolina,,, None, None,2020,South Carolina,,,,,
Makius Scott,DT,Gainesville,GA,6'3'',305,75.0,South Carolina,,9,,,2020,South Carolina,,,,,
Kai Kroger,K,Lake Forest,IL,6'3'',190,75.0,South Carolina,,82,537,20,2020,South Carolina,,,,,
Trai Jones,OG,Abbeville,SC,6'2'',265,74.0,South Carolina,,162,675,235,2020,South Carolina,,,,,
Gilber Edmond,DE,Fort Pierce,FL,6'4'',215,74.0,South Carolina,,35,677,43,2020,South Carolina,,,,,
Mitch Jeter,K,Concord,NC,5'11'',175,74.0,South Carolina,,137,888,191,2020,South Carolina,,,,,
Rashad Amos,RB,Tyrone,GA,6'0'',205,72.0,South Carolina,,, None, None,2020,South Carolina,,,,,
Collin Hill,QB-PP,Roebuck,SC,6'5'',210,,South Carolina,,,,,2020,South Carolina,,,,,
T.J. Sanders,DE,Marion,SC,6'5'',275,78.0,South Carolina,,72,,,2021,South Carolina,,275,8,,
Nicholas Barrett,DT,Goldsboro,NC,6'4'',320,77.0,South Carolina,,45,,,2021,South Carolina,,,,,
O'Mega Blake,WR,Rock Hill,SC,6'2'',190,77.0,South Carolina,,34,,,2021,South Carolina,,311,67,,
Colten Gauthier,QB,P, Dacula,GA,6'3'',205.0,77,,67,,,2021,South Carolina,South Carolina,317,24,,
Kolbe Fields,OLB,Metairie,LA,6'1'',205,77.0,South Carolina,,66.0,,,2021,South Carolina,,,,,
Sam Reynolds,ATH,Alabaster,AL,5'8'',175,77.0,South Carolina,,67,,,2021,South Carolina,,,,,
Caleb McDowell,RB,Leesburg,GA,5'10'',175,76.0,South Carolina,,412,,,2021,South Carolina,,,,,
JonDarius Morgan,OT,Birmingham,AL,6'4'',305,76.0,South Carolina,,,,,2021,South Carolina,,,,,
Marcellas Dial,CB,Woodruff,SC,5'11'',180,75.0,South Carolina,,132,,,2021,South Carolina,,693,150,,
La'Dareyen Craig,CB,Mobile,AL,6'1'',175,74.0,South Carolina,,11,,,2021,South Carolina,,,,,
Jordan Davis,OT,Fairburn,GA,6'5'',290,73.0,South Carolina,,,,,2021,South Carolina,,,,,
Isaiah Norris,CB,Anderson,SC,6'0'',170,71.0,South Carolina,,,,,2021,South Carolina,,,,,
Tavaeron Scott,OLB,Fort Wayne,IN,6'3'',215,,South Carolina,,,,,2021,South Carolina,,,,,
Ahmarean Brown,WR,Tampa,FL,5'9'',165,,South Carolina,,,,,2021,South Carolina,,,,,
David Spaulding,CB,Hinesville,GA,6'1'',185,,South Carolina,,,,,2021,South Carolina,,,,,
Jordan Strachan,OLB,Kingsland,GA,6'4'',210,,South Carolina,,,,,2021,South Carolina,,,,,
Jason Brown,QB,Fredericksburg,VA,6'4'',230,,South Carolina,,,,,2021,South Carolina,,,,,
E.J. Jenkins,TE,Loretto,PA,6'7'',235,,South Carolina,,,,,2021,South Carolina,,,,,
Jahkeem Green,DT,Sumter,SC,6'3'',300,,South Carolina,,,,,2021,South Carolina,,,,,
Darryl Williams,ILB,Smyrna,DE,6'1'',230,,South Carolina,,,,,2021,South Carolina,,,,,
Nyckoles Harbor,ATH,Washington,DC,6'5'',225,87.0,,,1,3,1,2023,South Carolina,,,,,
Desmond Umeozulu,DE,Springdale,MD,6'6'',230,84.0,,,14,10,3,2023,South Carolina,,,,,
Xzavier McLeod,DT,Camden,SC,6'5'',325,83.0,,,11,65,2,2023,South Carolina,,,,,
Markee Anderson,OT,Roebuck,SC,6'4'',305,83.0,,,15,67,3,2023,South Carolina,,,,,
Grayson Howard,OLB,Jacksonville,FL,6'3'',215,82.0,,,15,,,2023,South Carolina,,,,,
Vicari Swain,ATH,Carrollton,GA,6'0'',175,82.0,,,14,,,2023,South Carolina,,,,,
Elijah Davis,DT,Wagener,SC,6'4'',295,81.0,,,1,,,2023,South Carolina,,,,,
Dontavius Braswell,RB,Sandersville,GA,5'11'',190,81.0,,,15,,,2023,South Carolina,,,,,
Tosin Babalade,OG,Hyattsville,MD,6'5'',305,81.0,,,11,,,2023,South Carolina,,,,,
LaNorris Sellers,QB-DT,Florence,SC,6'2'',225,81.0,,,8,,,2023,South Carolina,,,,,
Elijah Caldwell,WR,Rock Hill,SC,6'0'',190,80.0,,,40,157,5,2023,South Carolina,,,,,
Kelton Henderson,ATH,Lehigh Acres,FL,6'0'',180,80.0,,,28,177,78,2023,South Carolina,,,,,
Monteque Rhames,DE,Sumter,SC,6'6'',235,80.0,,,49,182,6,2023,South Carolina,,,,,
Trovon Baugh,OG,Atlanta,GA,6'3'',300,80.0,,,16,,,2023,South Carolina,,,,,
Jalon Kilgore,SE,Eatonton,GA,6'2'',200,79.0,,,43,242,48,2023,South Carolina,,,,,
Reid Mikeska,TE-H,Cypress,TX,6'6'',230,78.0,,,19,118,86,2023,South Carolina,,,,,
Cameron Upshaw,S,Perry,FL,6'3'',190,78.0,,,50,285,107,2023,South Carolina,,,,,
Zahbari Sandy,CB,Washington,DC,6'1'',200,78.0,,,,80,5,2023,South Carolina,,,,,
C.J. Adams,WR,Mableton,GA,6'2'',210,77.0,,,128,382,91,2023,South Carolina,,,,,
Judge Collier,ATH,Rock Hill,SC,6'1'',185,77.0,,,403,88,14,2023,South Carolina,,,,,
Jatavius Shivers,OT,Villa Rica,GA,6'5'',290,77.0,,,84,,,2023,South Carolina,,,,,
Tyshawn Russell,WR,Harrisburg,PA,6'0'',180,76.0,,,145,129,25,2023,South Carolina,,,,,
Kamron Sandlin,ATH,Anniston,AL,6'3'',220,76.0,,,102,,,2023,South Carolina,,,,,
Connor Cox,TE-Y,Jacksonville,FL,6'5'',230,76.0,,,25,,,2023,South Carolina,,,,,
Nick Elksnis,TE-Y,Jacksonville,FL,6'6'',243,76.0,Florida,,, None, None,2023,South Carolina,,,,,
Mario Anderson,RB,Summerville,SC,5'9'',210,,University of Newberry College,,, None, None,2023,South Carolina,,,,,
Nick Gargiulo,OT,Yorktown Heights,NY,6'5'',290,,Yale University,,, None, None,2023,South Carolina,,,,,
Trey Knox,TE-H,Murfreesboro,TN,6'5'',240,,University of Arkansas,,, None, None,2023,South Carolina,,,,,
Joshua Simon,TE-Y,Dalzell,SC,6'4'',235,,Western Kentucky University,,,,,2023,South Carolina,,,,,
Sidney Fugar,OT,Waldorf,MD,6'5'',332,,Western Illinois University,,, None, None,2023,South Carolina,,,,,
Jaron Willis,OLB,Leesburg,GA,6'2'',220,,University of Mississippi,,,,,2023,South Carolina,,,,,
Jatius Geer,DE,Anderson,SC,6'6'',240,,Syracuse University,,, None, None,2023,South Carolina,,,,,
Ni Mansell,OG,Anderson,SC,6'3'',275,,Mercer University,,, None, None,2023,South Carolina,,,,,
Dylan Stewart,DE,Washington,DC,6'6'',245,,90.0,,3,,,2024,South Carolina,,1,1,,South Carolina
Kam Pringle,OT,Dorchester,SC,6'8'',335,,86.0,,3,,,2024,South Carolina,,23,1,,South Carolina
Josiah Thompson,OT,Dillon,SC,6'7'',290,,85.0,,5,,,2024,South Carolina,,,,,South Carolina
Wendell Gregory,OLB,Marietta,GA,6'4'',220,,84.0,,8,,,2024,South Carolina,,,,,South Carolina
Michael Smith,TE,Savannah,GA,6'5'',245,,82.0,,10,,,2024,South Carolina,,,,,South Carolina
Mazeo Bennett,WR,Greenville,SC,6'0'',170,,82.0,,178,,,2024,South Carolina,,,,,South Carolina
Jalewis Solomon,ATH,Ellaville,GA,6'1'',185,,82.0,,11,,,2024,South Carolina,,94,29,,South Carolina
Kelvin Hunter,S,Florence,SC,5'11'',185,,81.0,,23,,,2024,South Carolina,,115,5,,South Carolina
Matthew Fuller,RB,Jesup,GA,6'0'',210,,80.0,,22,,,2024,South Carolina,,,,,South Carolina
Dante Reno,QB-PP,Cheshire,CT,6'2'',205,,80.0,,12,,,2024,South Carolina,,,,,South Carolina
Blake Franks,OT,Greenville,SC,6'5'',310,,79.0,,52,,,2024,South Carolina,,232,8,,South Carolina
Debron Gatling,WR,Milton,GA,6'1'',185,,79.0,,66,,,2024,South Carolina,,,,,South Carolina
Fred Johnson,OLB,Norfolk,VA,6'3'',225,,78.0,,46,,,2024,South Carolina,,,,,South Carolina
David Bucey,ILB,Savannah,GA,6'1'',205,,78.0,,26,,,2024,South Carolina,,306,86,,South Carolina
Jerome Simmons,DT,Bamberg,SC,6'4'',330,,78.0,,7,,,2024,South Carolina,,,,,South Carolina
Mason Love,K,Riverside,MO,6'0'',170,,76.0,,1,,,2024,South Carolina,,,,,South Carolina
Jared Brown,WR Lilburn,GA,Coastal Carolina University6'0''190,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Raheim Sanders,RB Cocoa,FL,University of Arkansas6'2''242,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Kyle Kennard,DE Roswell,GA,Georgia Institute of Technology6'5''238,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Bangally Kamara,OLB Akron,OH,University of Pittsburgh6'2''230,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Deandre Jules,DT Montgomery Village,MD,University of Pittsburgh6'3''310,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Oscar Adaway,RB Little Rock,AR,University of North Texas5'10''219,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Jawarn Howell,RB Mooresville,NC,South Carolina State University6'1''215,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Brady Hunt,TE-Y Muncie,IN,Ball State University6'6''249,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Gerald Kilgore,CB Eatonton,GA,Tennessee Tech University6'0''202,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Torricelli Simpkins III,OG Charlotte,NC,North Carolina A&T6'5''320,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Ahmari Huggins-Bruce,WR Dillon,SC,University of Louisville5'11''170,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Demetrius Knight,ILB Locust Grove,GA,UNC Charlotte6'2''247,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Gage Larvadian,WR Donaldsonville,LA,Miami University5'10''165,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Monkell Goodwine,DT Clinton,MD,The University of Alabama6'4''290,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Aaryn Parks,OT Clinton,MD,University of Oklahoma6'4''301,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Davis Beville,QB-PP Greenville,SC,University of Oklahoma6'6''226,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Gilber Edmond,DE Fort Pierce,FL,Florida State University6'5''250,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Robby Ashford,QB-DT Hoover,AL,Auburn University6'3''218,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Kamaar Bell,OG Moultrie,GA,Florida Atlantic University6'2''310,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Vandrevius Jacobs,WR Fort Pierce,FL,Florida State University6'0''176,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
Dalevon Campbell,WR Houston,UKUniversity of Nevada, Las Vegas6'4''218,TR,South Carolina,,,,,,,2024,South Carolina,,,,,
